ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	T0	A_1	A_2	Remarks
OGLE-LMC-ECL-00151	ELL	4.629392	-69.558361	-99.99	LMC150.5.5299	LMC538.29.1027	-99.99	18.841	18.961	0.120	0.99029200	7000.11640	0.230	0.186	
OGLE-LMC-ECL-00168	ELL	4.635403	-67.908722	-99.99	LMC154.4.4393	LMC540.07.4529	-99.99	15.847	17.203	1.356	204.12353070	7062.13800	0.082	0.038	
OGLE-LMC-ECL-00215	ELL	4.651619	-68.623222	-99.99	LMC148.6.425	LMC539.22.442	-99.99	18.219	19.271	1.052	69.26734230	7059.52430	0.107	0.099	
OGLE-LMC-ECL-00303	ELL	4.683403	-68.155000	-99.99	LMC147.7.5432	LMC539.29.8064	-99.99	15.815	17.074	1.259	92.37306120	7070.69660	0.150	0.096	
OGLE-LMC-ECL-00400	ELL	4.712625	-69.323611	-99.99	LMC149.2.7951	LMC538.27.10663	-99.99	18.176	19.267	1.091	179.26130000	7034.78640	0.065	0.055	
OGLE-LMC-ECL-00458	ELL	4.723992	-67.613111	-99.99	LMC146.2.46	LMC540.11.78	-99.99	15.681	17.054	1.373	186.09596330	7015.75240	0.070	0.059	
OGLE-LMC-ECL-00460	ELL	4.724183	-67.751111	-99.99	LMC146.1.110	LMC540.11.95	-99.99	16.910	16.900	-0.010	5.65919400	7000.27710	0.053	0.052	
OGLE-LMC-ECL-00469	ELL	4.725444	-68.303833	-99.99	LMC147.1.555	LMC539.27.168	-99.99	17.516	17.474	-0.042	18.71834700	7004.50900	0.136	0.130	
OGLE-LMC-ECL-00485	ELL	4.727500	-70.423694	-99.99	LMC144.6.6951	LMC538.01.504	-99.99	17.587	18.805	1.218	22.37413140	7005.71720	0.105	0.101	
OGLE-LMC-ECL-00732	ELL	4.771197	-68.637444	-99.99	LMC141.6.9408	LMC539.18.180	-99.99	17.058	17.244	0.186	3.58541170	7003.55160	0.207	0.166	
OGLE-LMC-ECL-00740	ELL	4.772339	-68.528222	-99.99	LMC141.6.10310	LMC539.18.12391	-99.99	18.273	19.353	1.080	12.82562720	7010.93800	0.161	0.129	
